Date,Time,Location,Video or Image,Name of (first) image,"If image, name of last image in ""sequence"" with howler in",Nr of capuchins present (min),Howler ID,Carrier ID (or agesex if unclear),Age-sex classes present,Behavior toward howler,,,,,,,,,,,,,,,,,
26/01/2022,06:47,CEBUS-05,Video,CEBUS-05-R11__2022-01-26__06-47-01,,3,H1,Juvenile,"1 subadult male (JOK?), 2 juvenile","Male juvenile carrying howler on front of body (beneath head). Other juvenile/subadult reaches for howler, inspecting it? Howler clings to fur of capuchin",,,,,,,,,,,,,,,,,
27/01/2022,07:07:57,J-STREAM-07,Image,J-STREAM-07-R11__2022-01-27__07-07-57,J-STREAM-07-R11__2022-01-27__07-08-03,1,H1,Juvenile,Juvenile/subadult male,Juvenile/subadult male with the howler on its stomach traveling through,,,,,,,,,,,,,,,,,
27/01/2022,16:18:08,J-STREAM-07,Image,J-STREAM-07-R11__2022-01-27__16-18-08,J-STREAM-07-R11__2022-01-27__16-18-14,1,H1,Juvenile,Juvenile/subadult male,Juvenile/subadult male with the howler on its stomach traveling through,,,,,,,,,,,,,,,,,
30/01/2022,07:09:32,CEBUS-04,Video,CEBUS-04-R11__2022-01-30__07-09-32,,1,H1,JOK,Subadult male (JOK),JOK carrying howler on his front while eating crab (hermit?) that he eats by by smacking them on a rock. ,,,,,,,,,,,,,,,,,
30/01/2022,07:09:51,CEBUS-02,Image (in Video deployment),CEBUS-02-R11__2022-01-30__07-09-51,,1,H1,JOK,Subadult male (JOK), in picture before video looks like subadult carrying howler on stomach. No trigger from CEBUS-02-AUX,,,,,,,,,,,,,,,,,
03/02/2022,14:22:10,CEBUS-04,Video,CEBUS-04-R11__2022-02-03__14-22-10,,2,H1?,JOK,"Subadult male (JOK), adult male, probably more out of view",Social aggression (JOK head flagging with adult male) towards off-screen capuchin(s). Mild vocal threat (squeak threat). Howler vocalizes. Different vocalization from before,,,,,,,,,,,,,,,,,
13/02/2022,18:14:02,CEBUS-02,Video,CEBUS-02-R11_2022-02-13_18-14-02,,2,,,"Joker without howler, Spot",Confirmed sighting of Joker without howler,,,,,,,,,,,,,,,,,
03/03/2022,13:36:31,CEBUS-02,Video,CEBUS-02-R11_2022-03-03_13-36-31,,,,,"Joker without howler, bunch of other capuchins",Confirmed sighting of Joker without howler,,,,,,,,,,,,,,,,,
07/04/2022,17:19:14,CEBUS-04,Video,CEBUS-04-R11__2022-04-07__17-19-14,,4,H2,JOK,"Adult male (ABE), subadult male 2x, juvenile","Subadult male carrying howler on back, traveling through screen with other capuchins",,,,,,,,,,,,,,,,,
07/04/2022,17:55:47,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__17-55-47,,4,H2,JOK,"juvenile 2x, adult male (ABE), subadult male (JOK)",Don’t see howler but hear it vocalize! In 2 min before see other adult male too and subadult (so quite big group),,,,,,,,,,,,,,,,,
07/04/2022,17:56:00,CEBUS-02-AUX,Image,CEBUS-02-AUX-R11__2022-04-07__17-56-00(1),CEBUS-02-AUX-R11__2022-04-07__18-01-54(30),2,H2,JOK,Subadult male (JOK and unknown),"other angle of video, see that other subadult is right next to them",,,,,,,,,,,,,,,,,
07/04/2022,17:56:55,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__17-56-55,,2,H2,JOK,"Subadult male (JOK), juvenile male (BAL)",JOK comes in carrying the howler (other subadult male was not in frame at same time but before). Subadult with howler eats almendra. Howler vocalizes several time and moves around on back ,,,,,,,,,,,,,,,,,
07/04/2022,17:58:13,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__17-58-13,,2,H2,JOK,Subadult male (JOK and unknown) (but only see one),"JOK eating almendra at anvil (no tool use). Howler on his back and vocalizing a lot, also climbing around a bit",,,,,,,,,,,,,,,,,
07/04/2022,17:59:27,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__17-59-27,,2,H2,JOK,Subadult male (JOK and unknown) (but only see one),"JOK eating almendra at anvil (no tool use). Howler on his back and vocalizing a lot, also looking around a lot",,,,,,,,,,,,,,,,,
07/04/2022,18:00:36,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__18:00:36,,2,H2,JOK,Subadult male (JOK and unknown),"JOK eating almendra at anvil (no tool use). Howler on his back and vocalizing a lot, also looking around a lot at other subadult coming in and vocalizes at it. Other subadult tries to grab food from subadult with howler",,,,,,,,,,,,,,,,,
07/04/2022,18:02:04,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__18:02-04,,3,H2,JOK,"Subadult male (JOK and unknown), juvenile in background","JOK eating almendra at anvil (no tool use). Howler on his back and vocalizing a lot, also looking around a lot",,,,,,,,,,,,,,,,,
07/04/2022,18:03:45,CEBUS-02,Video,CEBUS-02-R11__2022-04-07__18:03:45,,1,H2,JOK,subadult male (JOK),JOK eating almendra without tool use. Howler vocalizing while on his back,,,,,,,,,,,,,,,,,
07/04/2022,18:12:15,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-12-15,,1,H2,JOK,subadult male,"tool using on almendras, hear howler",,,,,,,,,,,,,,,,,
07/04/2022,18:14:27,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-14-27,,5,H2,JOK,"adult male (ABE), adult female (SAD?), 3 juveniles","hear howler in background, have ABE eating a coconut, food interest of others",,,,,,,,,,,,,,,,,
07/04/2022,18:15:35,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-15-35,,6,H2,JOK,"2x Adult female (one with infant, OLG and SAD?), juvenile, adult male, subadult male (JOK)",JOK pounds and eats coconut with howler on his back. Howler is attentive and looking around. Clinging to subadult  and vocalizes,,,,,,,,,,,,,,,,,
